,artist_name,track_name,release_date,genre,lyrics
28371,jeezy,r.i.p.,2019,hip hop,remix killer alive remix thriller trap bitch spell damn cause hood nigga everybody list club fuck average watch fuck wrist average hoe fuck bitch window motherfuckin wall money jeans motherfuckin mall choppas bulletproof hummer competition summer wanna kill judge tryna lock homie feel thug thirsty fuck fuckin cause teach fuck stack money go hollywood funny know want pipe like crack bummy stop playin tryna like crash dummy start shit shit bitch bitch see snow bitch cancel like nino bitch kill club lyric commercial
27462,death cab for cutie,to the ground,2019,rock,lose lose control slip begin roll wing ocean crash right rail valley valley char remain strip chassis clean bramble grow frame swallow swallow return grind grind return grind grind tree grow tall weed cover animals home underneath rust dome things come come come return grind grind grind come grind grind grind grind
6967,a$ap ferg,wam,2019,pop,yeah yeah yeah flavor bitch delicious motherfuckers lay ditch kill rappers precision damn rock decision right friends make millions cause knowin vision entertainers crash collision destine money great division finna food dish table starve yeah nigga ball right go dome sharpie yeah work look like right better play like carti smoke yeah game atari movin like kentucky neck hoppin yeah touch jawn skin light skin wake today skrrt right ferg tell need watch bling blaow know ones color drop skrrt skrrt gettin money take bet check material hella fresh flavor bitch delicious yeah motherfuckers lay ditch right kill rappers precision rock decision right friends make millions cause knowin vision entertainers crash collision destine money great division damn finna food dish key mansion yeah diamonds like dancin wonder bitch catch tantrum right helicopter golf course land right house year crew yeah crew leave mink gator shoe swear shit feel like neck hoppin yeah touch jawn skin light skin wake today skrrt ferg tell need watch bling blaow know ones color drop skrrt skrrt gettin money take bet check material hella fresh yeah
6966,ruel,painkiller,2019,pop,painkiller brain get bitter close close seat parkside livin feel like billion teenage cynical know point livin heart get break drivin road wait headon collision springtime funeral miss heartbreaks headaches doctor say diagnose shit days mistake fine fine cause painkiller brain get bitter close miserable take forever brain better close close window seat plane start leavin miss streets knees bleedin homesick veteran leave lookin heartbreaks headaches doctor say diagnose shit days mistake fine fine cause painkiller brain get bitter close miserable take forever brain better close close leave cause barely holdin reason breathin cause painkiller brain get bitter close miserable take forever brain better close oohwoah close know hear close yeah close close close
6965,nav,habits,2019,pop,wheezy outta yeah money know drug want know drug want tell tell take right match double know know drink think need think addict problems lot habit tryna solve think addict problems talk lose thoughts go lose think know songs songs room yeah say yeah think habit yeah nowadays perky last focus cabbage gotta refill prescription addy uppers dosin makin magic long drug involve money know drug want know drug want tell tell take right match double know know drink think need think addict problems lot habit tryna solve think addict problems talk pills searchin like dope fiend hard jeans smoke blunt room look like smoke screen player like kobe ballin team lookin juice vegas bucksy gamble life cause hoe fuck addy henny touch buy slow shit pricey break look club look gotta sure gang right cause walkin money know drug want know drug want tell tell take right match double know know drink think need think addict problems lot habit tryna solve think addict problems talk
6964,dean lewis,stay awake,2019,pop,trace finger right leave drink walk sudden bring problems guess wanna talk cause bigger harder fall crash floor say leave morning come pack feel go stay awake stay awake stay awake hold stay awake stay awake stay awake memories pack box stack door cause bigger harder fall crash floor feel breath lips walk door hand start slip felt like feel go stay awake stay awake stay awake hold stay awake stay awake stay awake look mirror try figure wonder go wrong like daylight come hold say leave morning come pack feel go stay awake stay awake stay awake hold stay awake stay awake stay awake feel go stay awake stay awake stay awake feel go stay awake stay awake stay awake
6963,runaway june,buy my own drinks,2019,pop,yeah try unfall apart think neon light real good start call couple friends stay guess go heart break mean gotta stay home yeah drink night light drop change jukebox dance stop thinkin bout drinkin bout need yeah drink tonight tonight tonight yeah drink tonight tonight tonight dive type walk see drink hand yeah say sweet glass gonna pass time yeah fine drink night light drop change jukebox dance stop thinkin bout drinkin bout need yeah drink tonight tonight tonight yeah drink tonight tonight tonight walk self door self medicate headache yeah boyfriend drink night light drop change jukebox dance time stop stop thinkin bout drinkin bout need yeah drink tonight tonight tonight yeah drink tonight tonight tonight drop change jukebox tonight tonight tonight thinkin bout drinkin bout dance tonight tonight tonight
27467,imagine dragons,birds (feat. elisa),2019,rock,hearts valve pumpin blood flood body live life stickin lettin makin right season change life grow change temporary slide know bird different directions sunsets sunrises livin dream watchin leave changin season nights think relivin past wishin wishin dreamin season change life grow death hard hard hard temporary slide know bird different directions bird different directions high high moon lookin shinin light grind flyin cast know bird different directions bird different directions high high high high high high
27466,cold war kids,complainer,2019,rock,complain stand wait dance uhhuh wanna talk know want plan uhhuh stop wonder show wild life coast coast slow stand wait dance uhhuh stop look want change world believe magic change lyric commercial
27465,passion pit,i found u,2019,rock,look look look years bring lower believe light look know yeah know barely alive yeah life fleet feel yeah feel life fleet feel yeah feel believe lyric commercial
